Cycle,Time (real),Time (simulation),Agent,Distance Traveled,Num Intersections
0,2021-11-02 19:57:44,0.0,bike0,48.65000000000013,1
0,2021-11-02 19:57:44,0.0,bike1,48.649999999999906,1
0,2021-11-02 19:57:45,0.0,bike2,48.65000000000001,1
0,2021-11-02 19:57:45,0.0,bike3,48.650000000000006,1
0,2021-11-02 19:57:45,0.0,bike4,48.65000000000002,1
0,2021-11-02 19:57:45,0.0,bike5,48.65000000000004,1
0,2021-11-02 19:57:45,0.0,bike6,48.65000000000013,1
0,2021-11-02 19:57:45,0.0,bike7,48.64999999999998,1
0,2021-11-02 19:57:45,0.0,bike8,48.64999999999999,1
0,2021-11-02 19:57:45,0.0,bike9,48.65000000000001,2
0,2021-11-02 19:57:45,0.0,bike10,48.65000000000002,1
0,2021-11-02 19:57:45,0.0,bike11,48.650000000000084,1
0,2021-11-02 19:57:45,0.0,bike12,48.64999999999996,1
0,2021-11-02 19:57:45,0.0,bike13,48.64999999999994,2
0,2021-11-02 19:57:45,0.0,bike14,48.64999999999999,1
0,2021-11-02 19:57:45,0.0,bike15,48.64999999999999,1
0,2021-11-02 19:57:45,0.0,bike16,48.649999999999984,1
0,2021-11-02 19:57:45,0.0,bike17,48.64999999999999,1
0,2021-11-02 19:57:45,0.0,bike18,48.650000000000006,1
0,2021-11-02 19:57:45,0.0,bike19,48.65000000000005,1
0,2021-11-02 19:57:45,0.0,bike20,41.92613773211555,3
0,2021-11-02 19:57:45,0.0,bike21,48.65,1
0,2021-11-02 19:57:45,0.0,bike22,48.64999999999998,2
0,2021-11-02 19:57:45,0.0,bike23,48.65000000000008,1
0,2021-11-02 19:57:45,0.0,bike24,48.65000000000003,1
0,2021-11-02 19:57:45,0.0,bike25,48.649999999999906,2
0,2021-11-02 19:57:45,0.0,bike26,48.64999999999999,2
0,2021-11-02 19:57:45,0.0,bike27,48.64999999999999,2
0,2021-11-02 19:57:45,0.0,bike28,48.64999999999996,1
0,2021-11-02 19:57:45,0.0,bike29,48.65,1
0,2021-11-02 19:57:45,0.0,bike30,48.64999999999994,1
0,2021-11-02 19:57:45,0.0,bike31,48.65000000000008,1
0,2021-11-02 19:57:45,0.0,bike32,48.65,2
0,2021-11-02 19:57:45,0.0,bike33,48.65,2
0,2021-11-02 19:57:45,0.0,bike34,48.649999999999956,2
0,2021-11-02 19:57:45,0.0,bike35,48.64999999999996,1
0,2021-11-02 19:57:45,0.0,bike36,48.650000000000006,1
0,2021-11-02 19:57:45,0.0,bike37,48.64999999999999,1
0,2021-11-02 19:57:45,0.0,bike38,48.65000000000004,1
0,2021-11-02 19:57:45,0.0,bike39,48.64999999999998,1
0,2021-11-02 19:57:45,0.0,bike40,48.650000000000084,1
0,2021-11-02 19:57:45,0.0,bike41,48.65000000000001,1
0,2021-11-02 19:57:45,0.0,bike42,48.650000000000006,1
0,2021-11-02 19:57:45,0.0,bike43,48.650000000000084,1
0,2021-11-02 19:57:45,0.0,bike44,48.650000000000006,1
0,2021-11-02 19:57:45,0.0,bike45,48.64999999999999,1
0,2021-11-02 19:57:45,0.0,bike46,48.65000000000003,1
0,2021-11-02 19:57:45,0.0,bike47,48.650000000000055,2
0,2021-11-02 19:57:45,0.0,bike48,48.6499999999999,1
0,2021-11-02 19:57:45,0.0,bike49,48.65000000000002,2
1,2021-11-02 19:57:45,35.0,bike0,48.6499999999999,0
1,2021-11-02 19:57:45,35.0,bike1,48.649999999999906,0
1,2021-11-02 19:57:45,35.0,bike3,48.650000000000006,0
1,2021-11-02 19:57:45,35.0,bike4,48.65000000000002,0
1,2021-11-02 19:57:45,35.0,bike7,48.64999999999998,0
1,2021-11-02 19:57:45,35.0,bike8,48.64999999999999,0
1,2021-11-02 19:57:45,35.0,bike11,48.65000000000001,2
1,2021-11-02 19:57:45,35.0,bike12,48.64999999999996,0
1,2021-11-02 19:57:45,35.0,bike14,48.65000000000002,1
1,2021-11-02 19:57:45,35.0,bike15,48.650000000000006,0
1,2021-11-02 19:57:45,35.0,bike16,48.650000000000105,1
1,2021-11-02 19:57:45,35.0,bike17,48.64999999999999,0
1,2021-11-02 19:57:45,35.0,bike18,48.64999999999999,1
1,2021-11-02 19:57:45,35.0,bike20,48.650000000000006,0
1,2021-11-02 19:57:45,35.0,bike23,48.65000000000011,0
1,2021-11-02 19:57:45,35.0,bike24,48.65000000000003,1
1,2021-11-02 19:57:45,35.0,bike26,48.64999999999999,1
1,2021-11-02 19:57:45,35.0,bike27,48.650000000000006,1
1,2021-11-02 19:57:45,35.0,bike30,48.64999999999996,1
1,2021-11-02 19:57:45,35.0,bike31,48.65000000000011,0
1,2021-11-02 19:57:45,35.0,bike32,48.64999999999998,0
1,2021-11-02 19:57:45,35.0,bike36,48.650000000000034,1
1,2021-11-02 19:57:45,35.0,bike37,48.64999999999999,1
1,2021-11-02 19:57:45,35.0,bike38,48.65000000000002,1
1,2021-11-02 19:57:45,35.0,bike40,48.65000000000009,1
1,2021-11-02 19:57:45,35.0,bike41,48.65000000000001,0
1,2021-11-02 19:57:45,35.0,bike42,48.650000000000006,0
1,2021-11-02 19:57:45,35.0,bike43,48.650000000000084,0
1,2021-11-02 19:57:45,35.0,bike44,48.64999999999999,1
1,2021-11-02 19:57:45,35.0,bike46,48.650000000000006,0
1,2021-11-02 19:57:45,35.0,bike49,48.64999999999999,1
